nickname,lastname,firstname,midname,birth,gender,influence
Вояжёр,Одинцов,Серафим,Минич,1977-04-01,false,1
Врач,Агафонов,Аким,Кононович,1979-05-16,false,6
Всадник,Никитин,Максим,Симонович,1951-09-18,false,7
Важный,Громов,Виктор,Леонидович,1976-03-28,false,7
Везунчик,Николаев,Руслан,Витольдович,1965-07-07,false,3
Везучий,Денисов,Тимофей,Ипполитович,1992-01-09,false,7
Верный,Александров,Дмитрий,Соломонович,1991-05-10,false,4
Верзила,Степанов,Даниил,Ануфриевич,1970-11-28,false,2
Вепрь,Савельев,Константин,Александрович,1969-09-11,false,5
Воробей,Красильников,Кузьма,Кирьякович,1970-08-31,false,1
Ворон,Васильев,Валерий,Полиектович,1965-12-18,false,7
Выхухоль,Миронов,Демид,Ермильевич,1965-02-01,false,1
Вакуум,Артемьев,Василий,Прокофьевич,1969-01-20,false,7
Валун,Михайлов,Мирослав,Львович,1987-09-10,false,0
Вентилятор,Беляев,Герман,Севастьянович,1986-08-11,false,7
Вертолёт,Горбачёв,Ян,Евстахиевич,2003-01-04,false,7
Вентиль,Иванов,Фёдор,Пантелеевич,1971-03-04,false,2
Ворот,Зиновьев,Дмитрий,Андронович,1964-08-08,false,4
Воланд,Николаев,Аким,Азариевич,1962-07-26,false,1
Вареник,Маслов,Гавриил,Семёнович,1974-12-28,false,4
Вист,Кузнецов,Владислава,Емельянович,1992-10-13,false,7
Гнилой,Меркушев,Вадим,Кириакович,1957-11-28,false,6
Горбун,Дроздов,Марк,Генрихович,1966-03-02,false,3
Гангрена,Голубев,Эрик,Даниилович,1973-07-14,false,5
Глюк,Никифоров,Владислав,Ардальонович,1995-07-31,false,4
Градус,Карпов,Арсен,Семёнович,1979-05-05,false,3
Гангстер,Суворов,Алексей,Константинович,1962-02-14,false,1
Гонец,Бобров,Егор,Епифаниевич,1990-03-12,false,5
Граф,Кононов,Максим,Харламович,1982-11-19,false,3
Глыба,Гурьев,Георгий,Агапович,1964-05-01,false,5
Геолог,Яковлев,Никита,Капитонович,1951-02-22,false,6
Гладиатор,Галкин,Артём,Доримедонтович,1983-12-01,false,2
Гость,Волков,Максим,Ануфриевич,1958-08-07,false,3
Грузчик,Богданов,Архип,Абрамович,1957-07-08,false,4
Глазастый,Лебедев,Борис,Авенирович,2000-08-29,false,6
Говорун,Афанасьев,Аким,Гелиевич,1968-05-05,false,2
Гордый,Кузнецов,Ефим,Николаевич,1980-12-30,false,2
Глухарь,Волков,Эдуард,Ильич,1984-07-28,false,3
Гоблин,Лебедев,Демид,Клавдиевич,1980-11-04,false,4
Грач,Сидоров,Михаил,Аксентиевич,1980-04-16,false,1
Горький,Калинин,Яков,Серафимович,1987-03-05,false,1
Гриф,Сорокин,Альберт,Назариевич,1971-10-21,false,7
Гусь,Самойлов,Рустам,Юрьевич,1963-02-05,false,7
Грозный,Денисов,Альберт,Ананиевич,1960-09-09,false,0
Громила,Воронцов,Арсений,Гелиевич,1994-06-20,false,6
Гвоздь,Цветков,Руслан,Софронович,1974-12-06,false,7
Гильза,Бобылёв,Юрий,Онисимович,1987-11-04,false,5
Глобус,Романов,Андрей,Кононович,1961-03-06,false,6
Граната,Медведев,Пётр,Демидович,1988-10-25,false,6
Гребень,Лукин,Ярослав,Федосович,1966-08-28,false,5
Гроб,Иванов,Арсен,Прович,1971-12-07,false,7
Голова,Тарасов,Илья,Спиридонович,1999-12-19,false,1
Гомер,Николаев,Владимир,Евграфьевич,1990-06-19,false,7
Горыныч,Сазонов,Лев,Адамович,1970-05-09,false,7
Гибрид,Евсеев,Антон,Фомич,1992-05-07,false,2
Горец,Тарасов,Станислав,Патрикеевич,1961-10-01,false,2
Гремлин,Николаев,Эльдар,Ефимиевич,1978-08-10,false,7
Доходяга,Васильев,Игнат,Варламович,1976-07-19,false,6
Дохляк,Волков,Дамир,Давидович,1953-10-22,false,7
Дубина,Петров,Филипп,Кирсанович,1964-12-11,false,3
Девяностик,Петров,Тимофей,Всеволодович,1997-10-09,false,4
Дуб,Абрамов,Игнат,Константинович,1958-07-06,false,0
Дед,Шарапов,Тимофей,Куприянович,1984-11-13,false,2
Дезертир,Беспалов,Николай,Викториевич,1968-10-30,false,2
Делец,Кудряшов,Григорий,Агапович,1991-02-04,false,3
Денди,Игнатов,Яромир,Никифорович,1961-09-18,false,7
Депутат,Макаров,Арсен,Гавриилович,1978-02-24,false,3
Деспот,Калашников,Олег,Степанович,1986-12-18,false,3
Дикарь,Андреев,Мартин,Данила,1993-04-07,false,4
Дипломат,Жуков,Назар,Касьянович,1957-02-01,false,3
Док,Григорьев,Макар,Аскольдович,1962-11-11,false,5
Доктор,Никифоров,Роман,Вячеславович,1989-02-14,false,3
Доцент,Архипов,Игорь,Нилович,1951-02-08,false,7
Душитель,Дорофеев,Мирон,Демьянович,1997-07-21,false,4
Дельфин,Шестаков,Гордей,Нифонтович,1958-02-15,false,6
Динозавр,Семёнов,Антон,Ефремиевич,1953-06-09,false,1
Дрозд,Семёнов,Руслан,Андроникович,1998-04-02,false,3
Дятел,Лебедев,Яромир,Патрикеевич,1983-02-07,false,6
Длинный,Фролов,Макар,Дорофеевич,1976-06-25,false,0
Добряк,Лукин,Платон,Ферапонтович,1955-08-17,false,6
Дохлый,Цветков,Назар,Евгениевич,1972-10-27,false,4
Дачник,Белоусов,Вадим,Нестерович,1985-08-09,false,1
Движок,Гурьев,Александр,Порфирович,1979-01-20,false,5
Динамит,Зуев,Эрик,Меркулович,1973-09-07,false,6
Дырчик,Зимин,Степан,Харлампович,1950-01-13,false,2
Дырявый,Богданов,Евгений,Андрониевич,1977-08-30,false,1
Джаконда,Ефимов,Архип,Савватеевич,2003-12-02,false,1
Дуремар,Анисимов,Ян,Никитич,1976-04-21,false,7
Дух,Осипов,Валерий,Валентинович,1976-10-06,false,2
Дядька,Алексеев,Антон,Севастьянович,1961-03-13,false,4
Египтянин,Кузьмин,Роман,Харитониевич,1985-06-12,false,4
Егерь,Кулагин,Святослав,Митрофанович,1998-03-23,false,6
Ёж,Горбачёв,Демид,Дементиевич,1984-05-07,false,1
Жмот,Моисеев,Родион,Фадеевич,2000-01-31,false,1
Жмур,Ефремов,Захар,Иннокентиевич,1952-04-28,false,5
Жук,Быков,Станислав,Петрович,1974-12-21,false,1
Жадина,Соколов,Владислав,Валерианович,1975-10-17,false,3
Жалкий,Андреев,Лев,Каллиникович,1951-02-03,false,4
Железный,Михайлов,Леонид,Андрианович,1966-09-06,false,4
Железячник,Субботин,Гавриил,Абросимович,1987-12-19,false,6
Жжёный,Юдин,Илья,Евлампиевич,1978-06-29,false,3
Живчик,Фадеев,Прохор,Фадеевич,1956-12-25,false,3
Жирдяй,Веселов,Михаил,Эммануилович,1968-12-30,false,3
Жлоб,Семёнов,Демид,Лукьянович,1962-12-27,false,6
Железняк,Федотов,Алексей,Агапиевич,1985-01-21,false,0
Зверь,Лукин,Дмитрий,Викторович,1953-01-10,false,1
Змей,Копылов,Марк,Велимирович,2001-12-06,false,7
Звиздец,Мартынов,Родион,Олегович,1999-09-24,false,1
Законник,Матвеев,Даниил,Аронович,1975-11-19,false,7
Забугровый,Дроздов,Юрий,Памфилович,1996-07-21,false,1
Зелёный,Осипов,Добрыня,Титович,1953-09-05,false,3
Зенитчик,Прохоров,Филипп,Олимпиевич,1998-06-17,false,0
Знахарь,Мельников,Александр,Валерьянович,1969-01-18,false,6
Заяц,Козлов,Демьян,Федотиевич,1976-03-07,false,4
Зубр,Гущин,Ростислав,Самойлович,1963-05-19,false,6
Замок,Колесников,Григорий,Акинфович,1982-09-25,false,7
Закон,Новиков,Макар,Самсонович,1957-01-03,false,0
Затвор,Калинин,Иван,Панкратович,1962-03-17,false,7
Задумчивый,Устинов,Виктор,Онуфриевич,2001-09-25,false,6
Зануда,Попов,Руслан,Никитич,1973-05-07,false,6
Зоркий,Тетерин,Артур,Касьянович,1955-05-07,false,2
Зубастый,Алексеев,Марат,Абрамович,1964-06-17,false,1
Зябкий,Трофимов,Григорий,Матвеевич,1995-12-30,false,1
Игрок,Овчинников,Игорь,Спиридонович,1990-01-31,false,7
Индеец,Жуков,Мирон,Мартинович,1974-02-13,false,5
Ирокез,Лаврентьев,Богдан,Панфилович,1954-05-25,false,5
Индюк,Кузнецов,Мартин,Назариевич,2003-08-17,false,3
Изотоп,Дроздов,Ростислав,Витольдович,1983-12-29,false,5
Икар,Тихонов,Борис,Дионисиевич,1977-11-26,false,7
Изгой,Смирнов,Борис,Евтихиевич,1961-06-25,false,4
Изверг,Архипов,Николай,Викторович,1983-03-26,false,3
Инвалид,Буров,Виктор,Варсонофиевич,1991-08-11,false,2
Капитан,Ефимов,Илья,Пармёнович,1987-08-05,false,0
Кидала,Титов,Владислава,Рафаилович,1985-09-04,false,6
Клоун,Рябов,Гордей,Сидорович,1970-05-29,false,4
Князь,Мартынов,Матвей,Платонович,1969-06-17,false,6
Красный,Игнатьев,Егор,Фадеевич,1956-07-13,false,7
Казак,Уваров,Руслан,Филиппович,1993-06-15,false,1
Колдун,Фадеев,Гордей,Измаилович,1972-07-26,false,1
Кок,Блинов,Кирилл,Авдиевич,1989-03-19,false,6
Команч,Назаров,Ефим,Зосимич,1960-06-02,false,0
Король,Калинин,Платон,Варфоломеевич,1977-02-17,false,1
Крёстный отец,Брагин,Эльдар,Пахомиевич,1965-07-31,false,2
Купец,Ефремов,Марк,Евграфович,1985-11-04,false,4
Курильщик,Якушев,Давид,Ермолаевич,2000-01-08,false,3
Курьер,Зиновьев,Даниил,Евграфьевич,1971-02-17,false,4
Кучер,Брагин,Аким,Пименович,1997-02-04,false,5
Кабан,Бирюков,Эльдар,Димитриевич,1990-07-20,false,6
Карась,Исаков,Павел,Аверьянович,1981-03-09,false,3
Кенарь,Овчинников,Леонид,Ларионович,1992-04-07,false,7
Клоп,Стрелков,Игнат,Самойлович,1958-02-09,false,5
Кобра,Рыбаков,Анатолий,Федотович,1986-03-20,false,4
Комар,Медведев,Марат,Ларионович,1961-05-14,false,5
Конь,Федосеев,Владимир,Дементиевич,1997-01-30,false,2
Кот,Тихонов,Мартин,Венцеславович,1953-07-28,false,2
Крокодил,Александров,Денис,Прохорович,1957-01-30,false,0
Кузнечик,Красильников,Степан,Никонович,1953-12-01,false,7
Камень,Игнатов,Герман,Владленович,1961-09-02,false,7
Капкан,Костин,Артём,Еремеевич,1977-10-26,false,2
Кардан,Орлов,Руслан,Онисимович,1954-09-20,false,2
Карма,Гуляев,Андрей,Каллистратович,1998-02-26,false,6
Кирпич,Кошелев,Руслан,Веньяминович,1959-04-08,false,5
Клей,Фёдоров,Владислава,Авдеевич,1992-07-13,false,6
Ключ,Никитин,Иван,Варфоломеевич,1990-08-08,false,5
Кнут,Давыдов,Григорий,Евменович,2001-06-20,false,1
Козырь,Волков,Вадим,Августович,1996-12-11,false,2
Колпак,Семёнов,Аким,Фадеевич,1984-06-16,false,3
Колун,Воробьёв,Фёдор,Ерофеевич,2002-01-30,false,2
Коньяк,Егоров,Владимир,Дорофеевич,1992-02-04,false,3
Корень,Шашков,Игнат,Афанасиевич,1975-10-30,false,6
Коса,Наумов,Валерий,Спиридонович,1976-09-27,false,5
Космос,Кудряшов,Филипп,Савелиевич,1976-05-09,false,5
Кастет,Афанасьев,Серафим,Аверкиевич,1984-09-15,false,4
Косяк,Захаров,Максим,Ефимович,1965-02-27,false,5
Крест,Овчинников,Богдан,Остапович,1978-06-07,false,2
Крюк,Михайлов,Георгий,Кондратьевич,2002-02-10,false,2
Курок,Орлов,Захар,Вонифатиевич,1973-07-27,false,4
Клык,Савин,Степан,Пантелеймонович,2000-01-19,false,0
Коготь,Волков,Артём,Мартимьянович,1985-02-23,false,3
Кость,Кудрявцев,Захар,Мартынович,1998-03-22,false,5
Кулак,Мартынов,Елисей,Савёлович,1956-01-06,false,1
Казанова,Дроздов,Кузьма,Аникиевич,1986-12-13,false,5
Кощей,Лобанов,Прохор,Вячеславович,1956-03-23,false,2
Кесарь,Казаков,Мирослав,Никитич,1974-11-09,false,5
Колобок,Тетерин,Анатолий,Софронович,1954-05-06,false,4
Кутузов,Гришин,Демьян,Артёмович,1975-09-13,false,2
Кагор,Рябов,Святослав,Варламиевич,1978-04-24,false,1
Капуста,Зайцев,Артём,Евмениевич,1957-03-17,false,6
Карбон,Горшков,Виктор,Фадеевич,1969-04-23,false,2
Командор,Мясников,Яков,Самойлович,1982-05-05,false,4
Калека,Русаков,Артём,Евдокимович,1983-01-12,false,2
Колотун,Дьячков,Вадим,Августович,1964-05-05,false,3
Коматозник,Блинов,Ростислав,Ксенофонтович,2000-10-25,false,6
Косой,Калашников,Гавриил,Антонович,1975-02-08,false,6
Косорылый,Поляков,Кирилл,Назарович,1983-09-02,false,3
Костлявый,Цветков,Константин,Потапович,1996-07-15,false,5
Кривоног,Горбачёв,Макар,Никонович,1997-12-16,false,1
Легионер,Галкин,Павел,Леонович,1966-04-19,false,4
Лорд,Баранов,Клим,Диомидович,1971-09-29,false,6
Легавый,Захаров,Артемий,Дорофеевич,1952-12-26,false,7
Лекарь,Андреев,Ефим,Авдиевич,1952-12-14,false,0
Лесник,Авдеев,Яков,Аронович,1961-11-11,false,2
Лось,Моисеев,Серафим,Минаевич,2003-08-14,false,5
Лапоть,Васильев,Давид,Дементиевич,1952-10-05,false,1
Лом,Стрелков,Владимир,Наркисович,1963-01-15,false,2
Лёд,Колесников,Олег,Вадимович,1985-07-23,false,3
Леший,Лебедев,Дамир,Филипьевич,1973-11-14,false,3
Ловкач,Максимов,Демид,Онисимович,1980-11-14,false,4
Лохматый,Белоусов,Альберт,Кирьякович,1972-05-04,false,5
Лысый,Брагин,Мирослав,Прохорович,2003-10-07,false,0
Любимчик,Молчанов,Тимофей,Альбертович,1956-09-03,false,0
Лютый,Бобылёв,Елисей,Минич,1967-12-14,false,5
Мясо,Пестов,Кирилл,Афиногенович,1976-08-12,false,0
Магнат,Фадеев,Булат,Рюрикович,1982-05-18,false,2
Мажор,Зыков,Даниил,Болеславович,2003-08-05,false,7
Маньяк,Лукин,Вадим,Давидович,1974-07-05,false,0
Марсианин,Мухин,Гавриил,Парменович,1988-08-20,false,3
Масон,Сорокин,Платон,Витольдович,1966-07-26,false,3
Механик,Власов,Сергей,Проклович,1984-03-04,false,1
Могильщик,Горбунов,Николай,Веньяминович,1956-12-29,false,2
Модератор,Кузьмин,Дамир,Андроникович,1952-04-09,false,7
Мясник,Наумов,Герман,Исакович,1983-09-22,false,4
Молочник,Александров,Ростислав,Дорофеевич,1950-04-08,false,0
Мамонт,Кузнецов,Георгий,Меркулович,1961-04-26,false,6
Медведь,Орехов,Андрей,Никифорович,1976-05-20,false,6
Микроб,Корнилов,Виктор,Владиленович,1978-06-22,false,4
Москит,Королёв,Михаил,Глебович,1958-01-13,false,6
Машина,Устинов,Платон,Ильич,1994-11-17,false,0
Муравей,Галкин,Денис,Савватиевич,2001-02-26,false,4
Мишень,Князев,Аркадий,Егорович,2003-07-07,false,3
Мотор,Елисеев,Виталий,Бонифатиевич,1964-12-25,false,6
Малыш,Фадеев,Тимофей,Евсеевич,1974-01-30,false,7
Мавр,Волков,Святослав,Юрьевич,1981-08-16,false,1
Мадера,Соловьёв,Глеб,Симонович,1964-05-26,false,4
Макарон,Никитин,Мартин,Миронович,1969-07-06,false,3
Мастер,Павлов,Пётр,Вячеславович,1951-10-07,false,0
Мутант,Кузьмин,Захар,Филиппович,1995-10-09,false,6
Мертвец,Красильников,Илья,Павлович,1980-06-19,false,4
Мёртвый,Стрелков,Всеволод,Савватеевич,1988-10-30,false,4
Местный,Федосеев,Савелий,Орестович,1951-06-10,false,7
Мрачный,Волков,Юрий,Каллистратович,1979-02-20,false,1
Мутный,Елисеев,Фёдор,Амвросиевич,1975-12-27,false,0
Мятый,Кулаков,Гавриил,Серафимович,1964-05-15,false,2
Наёмник,Большаков,Артемий,Орестович,1955-07-25,false,3
Настройщик,Кошелев,Тимур,Измаилович,1983-10-30,false,3
Начальник,Петров,Руслан,Самуилович,1988-09-10,false,4
Ниндзя,Тарасов,Эльдар,Олимпиевич,1998-03-06,false,7
Нарцисс,Григорьев,Родион,Фёдорович,1958-07-07,false,5
Насос,Комиссаров,Игорь,Епифанович,2002-07-01,false,3
Ништяк,Фокин,Марат,Юлианович,1959-12-17,false,3
Нытик,Фокин,Рустам,Глебович,1950-05-24,false,3
Нудный,Кузнецов,Аделина,Иустинович,1991-07-17,false,0
Неудачник,Мишин,Олег,Ермильевич,1978-08-21,false,7
Неумёха,Федотов,Иван,Бонифатович,1956-09-25,false,5
Небрежный,Бобров,Ян,Аронович,1988-03-07,false,7
Нельсон,Фомичёв,Арсений,Варламович,1991-01-08,false,2
Нептун,Захаров,Всеволод,Дорофеевич,1996-12-15,false,6
Наполеон,Копылов,Елисей,Фомич,1999-11-11,false,1
Нерв,Ларионов,Руслан,Станиславович,1953-08-05,false,4
Барби,Соколова,Таисия,Вениаминовна,1983-10-24,true,1
Крыса,Зыкова,Мира,Евтихиевна,1959-05-11,true,3
Львица,Козлова,Злата,Прокофьевна,1978-08-19,true,3
Ангел,Игнатова,Александра,Авдиевна,1967-02-07,true,3
Коко,Крюкова,Изабелла,Ефимовна,1991-02-17,true,0
Блонди,Андреева,Снежана,Бенедиктовна,1995-06-05,true,3
Рыжая,Соболева,Нина,Корнеевна,1993-11-10,true,7
Амазонка,Доронина,Мира,Иннокентиевна,1955-06-08,true,4
Чудо-женщина,Крюкова,Юлия,Никаноровна,1973-02-10,true,2
Пушистик,Белякова,Таисия,Ипполитовна,1994-06-14,true,3
Джуджу,Орлова,Евангелина,Михаиловна,1957-01-16,true,4
Бэйб,Соболева,Элеонора,Власиевна,1965-04-17,true,1
Бэмби,Шубина,Элеонора,Филаретовна,1956-07-13,true,0
Чирлидер,Дмитриева,Милена,Дементиевна,1953-07-31,true,5
Пум Пум,Кузнецова,Лилия,Федотовна,1956-02-18,true,3
Лолита,Блинова,Алеся,Гермогеновна,1998-09-01,true,1
Исповедница,Дьячкова,Майя,Меркуловна,1972-08-28,true,5
Тень,Суханова,Маргарита,Милиевна,2002-09-20,true,2
Хрюша,Большакова,Алина,Ермилична,1974-06-23,true,6
Болтунья,Якушева,Евангелина,Леонардовна,1950-07-28,true,2
Кома,Кузнецова,Таисия,Агафоновна,1966-03-20,true,4
Леди,Петрова,Виктория,Осиповна,1996-10-12,true,2
Пума,Мухина,Ася,Лаврентиевна,1990-12-21,true,3
Цыпленок,Калинина,Амелия,Евтихиевна,1964-08-29,true,4
Магия,Некрасова,Регина,Бенедиктовна,1987-03-06,true,4
Марионетка,Михеева,Дария,Епифановна,1995-06-20,true,7
Жена,Карпова,Виталина,Софрониевна,1966-07-03,true,7
Амаретто,Калашникова,Мила,Трофимовна,1953-11-30,true,2
Лицо,Шестакова,Светлана,Вонифатиевна,1958-12-07,true,7
Магнолия,Русакова,Аида,Устиновна,1990-09-25,true,4
Мама,Козлова,Анжелика,Варфоломеевна,1994-06-17,true,0
Ромашка,Кириллова,Екатерина,Ферапонтовна,1973-12-01,true,7
Поведение,Дмитриева,Ярослава,Исаакиевна,1966-03-03,true,6
Бандит,Кузнецова,Диана,Леонардовна,1990-05-17,true,4
Мисси,Смирнова,Соня,Андрониковна,1966-02-23,true,0
Лиза,Ковалёва,Марьяна,Борисовна,1965-03-06,true,7
Бонни,Рожкова,Дария,Антониновна,1951-08-02,true,7
Гвозди,Лукина,Евдокия,Панкратовна,1993-11-26,true,6
Бруклин,Прохорова,Соня,Мартиниановна,1987-06-30,true,1
Жемчужина,Кузнецова,Лидия,Тимофеевна,1951-05-02,true,2
Ошибка,Киселёва,Дина,Кононовна,1978-03-23,true,0
Полоски,Нестерова,Аксинья,Серафимовна,1957-02-19,true,7
Кадиллак,Маслова,Есения,Владиленовна,1965-08-04,true,2
Пистолет,Никитина,Серафима,Пафнутиевна,1976-01-12,true,7
Кардинал,Куликова,Влада,Платоновна,1956-08-10,true,3
Матка,Красильникова,Александра,Аввакумовна,1970-08-03,true,0
Щеки,Медведева,Марьяна,Эрнестовна,1970-04-28,true,6
Куини,Фомина,Варвара,Патрикиевна,1955-01-05,true,5
Сеть,Колесникова,Евангелина,Марковна,1978-07-30,true,4
Алмаз,Нестерова,Регина,Ипполитовна,1981-12-15,true,0
Кукла,Игнатова,Полина,Онисимовна,1967-06-21,true,7
Рози,Молчанова,Лидия,Кузьминична,1973-12-16,true,3
Герцогиня,Рыбакова,Тамара,Поликарповна,1999-10-27,true,6
Рубин,Зыкова,Рада,Адриановна,1966-07-09,true,5
Фламинго,Силина,Ангелина,Мартьяновна,1951-04-21,true,3
Тюремщик,Герасимова,Лидия,Анатолиевна,1959-07-13,true,2
Ведьма,Григорьева,Дина,Арефиевна,1961-01-09,true,0
Джерси,Устинова,София,Антоновна,1959-12-28,true,7
Вдова,Пахомова,Елизавета,Вениаминовна,1963-06-29,true,4
Китти,Хохлова,Екатерина,Семёновна,1998-03-13,true,7
